duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
0.12,udp,dns,SF,51,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.0,0.001,0.0,0.0,0.984,0.117,0.019,99,124,0.809,0.031,0.102,0.074,0.0,0.0,0.0,0.0,normal
2.528,tcp,http,SF,276,832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0.0,0.0,0.0,0.0,0.851,0.118,0.066,125,182,0.956,0.092,0.085,0.014,0.0,0.0,0.0,0.0,normal
0.259,tcp,http,SF,243,4815,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0.028,0.0,0.0,0.0,0.95,0.061,0.081,88,50,0.805,0.018,0.108,0.046,0.0,0.0,0.0,0.0,normal
0.772,tcp,http,SF,331,655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0.119,0.089,0.0,0.0,0.891,0.014,0.09,41,121,0.84,0.061,0.087,0.018,0.0,0.0,0.0,0.0,normal
0.034,udp,dns,SF,65,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.0,0.001,0.0,0.0,0.902,0.089,0.002,47,244,0.896,0.157,0.012,0.049,0.0,0.0,0.0,0.0,normal
0.014,udp,dns,SF,70,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.002,0.009,0.0,0.0,0.856,0.083,0.037,85,213,0.962,0.063,0.143,0.029,0.0,0.0,0.0,0.0,normal
8.534,tcp,smtp,SF,786,973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0.0,0.0,0.0,0.0,0.877,0.09,0.087,20,58,0.862,0.155,0.146,0.05,0.0,0.0,0.0,0.0,normal
0.395,tcp,http,SF,371,1533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,0.989,0.004,0.056,46,165,0.821,0.028,0.063,0.097,0.0,0.0,0.0,0.0,normal
0.652,tcp,http,SF,245,10391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,0.887,0.035,0.075,216,210,0.821,0.013,0.089,0.015,0.0,0.0,0.0,0.0,normal
0.942,tcp,http,SF,233,396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.978,0.007,0.018,227,68,0.85,0.114,0.062,0.005,0.0,0.0,0.0,0.0,normal
0.718,tcp,http,SF,361,260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0.0,0.0,0.0,0.0,0.922,0.063,0.023,92,100,0.873,0.065,0.057,0.069,0.0,0.0,0.0,0.0,normal
0.796,tcp,http,SF,520,1421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,4,0.0,0.08,0.0,0.0,0.939,0.117,0.08,238,241,0.851,0.118,0.014,0.062,0.0,0.0,0.0,0.0,normal
1.656,tcp,http,SF,494,2052,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0.002,0.0,0.0,0.0,0.905,0.047,0.016,245,46,0.987,0.088,0.057,0.073,0.0,0.0,0.0,0.0,normal
2.688,tcp,http,SF,247,7585,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0.0,0.0,0.0,0.0,0.967,0.017,0.1,20,225,0.857,0.167,0.016,0.1,0.0,0.0,0.0,0.0,normal
0.052,udp,dns,SF,66,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.043,0.0,0.0,0.0,0.977,0.009,0.08,247,237,0.954,0.14,0.126,0.004,0.0,0.0,0.0,0.0,normal
1.648,tcp,http,SF,530,7542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.001,0.0,0.0,0.0,0.919,0.118,0.064,223,150,0.829,0.189,0.045,0.058,0.0,0.0,0.0,0.0,normal
0.62,tcp,http,SF,294,4011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.898,0.005,0.042,126,126,0.845,0.114,0.085,0.07,0.0,0.0,0.0,0.0,normal
3.08,tcp,http,SF,352,301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,0.961,0.002,0.083,183,219,0.874,0.031,0.09,0.012,0.0,0.0,0.0,0.0,normal
3.894,tcp,smtp,SF,676,2603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.012,0.0,0.0,0.862,0.113,0.043,127,124,0.83,0.036,0.136,0.004,0.0,0.0,0.0,0.0,normal
1.141,tcp,http,SF,412,1041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0.0,0.0,0.0,0.0,0.986,0.088,0.085,104,93,0.9,0.106,0.016,0.04,0.0,0.0,0.0,0.0,normal
10.361,tcp,smtp,SF,808,939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0.0,0.001,0.0,0.0,0.958,0.144,0.078,122,222,0.823,0.146,0.066,0.055,0.0,0.0,0.0,0.0,normal
0.092,udp,dns,SF,92,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.0,0.0,0.0,0.0,0.951,0.107,0.077,11,222,0.948,0.16,0.007,0.023,0.0,0.0,0.0,0.0,normal
0.462,tcp,http,SF,283,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0.041,0.0,0.0,0.0,0.901,0.108,0.081,140,254,0.859,0.082,0.021,0.057,0.0,0.0,0.0,0.0,normal
